_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Gate-1 Discharge (cusec),Gate-2 Discharge (cusec),Gate-3 Discharge (cusec),Gate-4 Discharge (cusec),Gate-5 Discharge (cusec),Gate-6 Discharge (cusec),Gate-7 Discharge (cusec),Gate-8 Discharge (cusec),Gate-9 Discharge (cusec),Gate-10 Discharge (cusec),Gate-11 Discharge (cusec),Gate-12 Discharge (cusec),Gate-13 Discharge (cusec),Gate-14 Discharge (cusec),Gate-15 Discharge (cusec),Gate-16 Discharge (cusec),Gate-17 Discharge (cusec),Gate-18 Discharge (cusec),Gate-19 Discharge (cusec),Gate-20 Discharge (cusec),Gate-21 Discharge (cusec),Gate-22 Discharge (cusec),Gate-23 Discharge (cusec),Gate-24 Discharge (cusec),Gate-25 Discharge (cusec),Gate-26 Discharge (cusec),Gate-27 Discharge (cusec),Gate-28 Discharge (cusec),Gate-29 Discharge (cusec),Gate-30 Discharge (cusec),Gate-31 Discharge (cusec),Gate-32 Discharge (cusec),Gate-33 Discharge (cusec),Gate-34 Discharge (cusec),Gate-35 Discharge (cusec),Gate-36 Discharge (cusec),Gate-37 Discharge (cusec),Gate-38 Discharge (cusec),Gate-39 Discharge (cusec),Gate-40 Discharge (cusec),Gate-41 Discharge (cusec),Gate-42 Discharge (cusec),Gate-43 Discharge (cusec),Gate-44 Discharge (cusec),Gate-45 Discharge (cusec),Gate-46 Discharge (cusec),Gate-47 Discharge (cusec),Gate-48 Discharge (cusec),Gate-49 Discharge (cusec),Gate-50 Discharge (cusec)
252,252,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
253,253,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
254,254,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
255,255,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
256,256,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
257,257,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
258,258,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
259,259,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
260,260,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
261,261,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
262,262,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
263,263,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
264,264,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,09-04-2026 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
265,265,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
266,266,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
267,267,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
268,268,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
269,269,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
270,270,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
271,271,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
272,272,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
273,273,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
274,274,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
275,275,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
276,276,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
277,277,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
278,278,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
279,279,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
280,280,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
281,281,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
282,282,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
283,283,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
284,284,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,10-04-2026 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
285,285,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
286,286,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
287,287,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
288,288,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
289,289,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
290,290,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
291,291,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
292,292,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
293,293,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
294,294,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
295,295,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
296,296,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
297,297,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
298,298,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
299,299,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
300,300,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
301,301,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
302,302,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
303,303,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
304,304,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
305,305,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,11-04-2026 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
306,306,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
307,307,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
308,308,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
309,309,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
310,310,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
311,311,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
312,312,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
313,313,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
314,314,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
315,315,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
316,316,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
317,317,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
318,318,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
319,319,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
320,320,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
321,321,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
322,322,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
323,323,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
324,324,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,12-04-2026 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
